,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
11,SFO,9111966SFO,September 11,MIN,18.0,307.0,203.0,104.0,1.0,20.0,298.0,72.0,226.0,1.0
19,MIN,9181966MIN,September 18,CLT,18.0,337.0,157.0,180.0,3.0,14.0,346.0,237.0,109.0,2.0
29,DAL,9251966DAL,September 25,MIN,18.0,314.0,166.0,148.0,0.0,25.0,389.0,247.0,142.0,1.0
42,MIN,1021966MIN,October 2,CHI,16.0,284.0,169.0,115.0,3.0,11.0,283.0,179.0,104.0,2.0
65,MIN,10161966MIN,October 16,RAM,20.0,378.0,313.0,65.0,1.0,13.0,230.0,146.0,84.0,3.0
69,CLT,10231966CLT,October 23,MIN,20.0,347.0,201.0,146.0,2.0,24.0,317.0,181.0,136.0,1.0
86,MIN,10301966MIN,October 30,SFO,29.0,559.0,313.0,246.0,2.0,10.0,154.0,105.0,49.0,3.0
94,GNB,1161966GNB,November 6,MIN,18.0,292.0,134.0,158.0,1.0,20.0,290.0,164.0,126.0,0.0
109,MIN,11131966MIN,November 13,DET,15.0,232.0,83.0,149.0,5.0,16.0,268.0,218.0,50.0,4.0
119,RAM,11201966RAM,November 20,MIN,15.0,228.0,130.0,98.0,1.0,10.0,186.0,43.0,143.0,4.0
131,MIN,11271966MIN,November 27,GNB,18.0,322.0,194.0,128.0,2.0,20.0,304.0,140.0,164.0,1.0
144,MIN,1241966MIN,December 4,ATL,16.0,270.0,161.0,109.0,6.0,10.0,187.0,114.0,73.0,0.0
149,DET,12111966DET,December 11,MIN,16.0,282.0,150.0,132.0,2.0,19.0,317.0,206.0,111.0,3.0
161,CHI,12181966CHI,December 18,MIN,14.0,380.0,113.0,267.0,0.0,29.0,460.0,245.0,215.0,4.0
181,MIN,9171967MIN,September 17,SFO,19.0,335.0,187.0,148.0,3.0,20.0,360.0,120.0,240.0,1.0
187,RAM,9221967RAM,September 22,MIN,16.0,237.0,121.0,116.0,2.0,13.0,224.0,176.0,48.0,6.0
204,MIN,1011967MIN,October 1,CHI,12.0,200.0,137.0,63.0,2.0,17.0,221.0,27.0,194.0,0.0
219,MIN,1081967MIN,October 8,CRD,16.0,337.0,236.0,101.0,3.0,18.0,412.0,247.0,165.0,3.0
230,GNB,10151967GNB,October 15,MIN,10.0,268.0,226.0,42.0,3.0,10.0,183.0,25.0,158.0,2.0
242,MIN,10221967MIN,October 22,CLT,19.0,310.0,195.0,115.0,0.0,22.0,343.0,225.0,118.0,1.0
247,ATL,10291967ATL,October 29,MIN,12.0,186.0,91.0,95.0,2.0,22.0,314.0,137.0,177.0,2.0
266,MIN,1151967MIN,November 5,NYG,17.0,304.0,115.0,189.0,3.0,17.0,403.0,238.0,165.0,2.0
277,MIN,11121967MIN,November 12,DET,7.0,177.0,40.0,137.0,1.0,17.0,366.0,89.0,277.0,6.0
288,CLE,11191967CLE,November 19,MIN,18.0,235.0,25.0,210.0,2.0,12.0,204.0,105.0,99.0,3.0
305,PIT,11261967PIT,November 26,MIN,7.0,117.0,52.0,65.0,6.0,16.0,212.0,102.0,110.0,5.0
313,MIN,1231967MIN,December 3,GNB,15.0,276.0,57.0,219.0,3.0,15.0,276.0,143.0,133.0,3.0
323,CHI,12101967CHI,December 10,MIN,16.0,298.0,108.0,190.0,0.0,11.0,212.0,107.0,105.0,1.0
335,DET,12171967DET,December 17,MIN,12.0,134.0,40.0,94.0,4.0,10.0,190.0,48.0,142.0,3.0
355,MIN,9141968MIN,September 14,ATL,21.0,404.0,218.0,186.0,2.0,14.0,234.0,153.0,81.0,4.0
373,GNB,9221968GNB,September 22,MIN,18.0,242.0,137.0,105.0,2.0,20.0,242.0,118.0,124.0,1.0
386,MIN,9291968MIN,September 29,CHI,17.0,279.0,121.0,158.0,3.0,20.0,409.0,131.0,278.0,2.0
400,MIN,1061968MIN,October 6,DET,18.0,265.0,130.0,135.0,0.0,9.0,247.0,168.0,79.0,1.0
413,NOR,10131968NOR,October 13,MIN,10.0,207.0,86.0,121.0,7.0,15.0,190.0,51.0,139.0,4.0
425,MIN,10201968MIN,October 20,DAL,16.0,274.0,144.0,130.0,3.0,9.0,177.0,93.0,84.0,2.0
433,CHI,10271968CHI,October 27,MIN,20.0,418.0,171.0,247.0,1.0,17.0,274.0,177.0,97.0,1.0
449,MIN,1131968MIN,November 3,WAS,15.0,317.0,102.0,215.0,3.0,9.0,133.0,92.0,41.0,4.0
466,MIN,11101968MIN,November 10,GNB,15.0,226.0,66.0,160.0,1.0,21.0,263.0,91.0,172.0,4.0
473,DET,11171968DET,November 17,MIN,6.0,131.0,38.0,93.0,1.0,15.0,252.0,113.0,139.0,3.0
483,CLT,11241968CLT,November 24,MIN,22.0,413.0,243.0,170.0,3.0,15.0,229.0,141.0,88.0,2.0
503,MIN,1211968MIN,December 1,RAM,9.0,127.0,47.0,80.0,5.0,19.0,324.0,123.0,201.0,2.0
519,SFO,1281968SFO,December 8,MIN,15.0,280.0,179.0,101.0,3.0,15.0,247.0,122.0,125.0,1.0
530,PHI,12151968PHI,December 15,MIN,18.0,286.0,156.0,130.0,2.0,15.0,280.0,135.0,145.0,2.0
534,CLT,12221968CLT,December 22,MIN,15.0,295.0,245.0,50.0,2.0,22.0,351.0,266.0,85.0,3.0
554,NYG,9211969NYG,September 21,MIN,13.0,320.0,205.0,115.0,2.0,13.0,327.0,230.0,97.0,2.0
565,MIN,9281969MIN,September 28,CLT,34.0,622.0,530.0,92.0,3.0,15.0,235.0,179.0,56.0,3.0
578,MIN,1051969MIN,October 5,GNB,12.0,230.0,73.0,157.0,0.0,16.0,173.0,65.0,108.0,3.0
586,CHI,10121969CHI,October 12,MIN,8.0,119.0,65.0,54.0,4.0,19.0,256.0,71.0,185.0,1.0
606,CRD,10191969CRD,October 19,MIN,7.0,169.0,90.0,79.0,1.0,19.0,332.0,216.0,116.0,1.0
616,MIN,10261969MIN,October 26,DET,13.0,201.0,149.0,52.0,1.0,13.0,167.0,60.0,107.0,4.0
629,MIN,1121969MIN,November 2,CHI,15.0,296.0,104.0,192.0,3.0,14.0,211.0,26.0,185.0,2.0
643,MIN,1191969MIN,November 9,CLE,31.0,454.0,266.0,188.0,0.0,8.0,151.0,109.0,42.0,4.0
653,GNB,11161969GNB,November 16,MIN,10.0,225.0,138.0,87.0,3.0,18.0,270.0,114.0,156.0,2.0
668,MIN,11231969MIN,November 23,PIT,25.0,329.0,215.0,114.0,4.0,10.0,145.0,97.0,48.0,5.0
675,DET,11271969DET,November 27,MIN,9.0,156.0,82.0,74.0,3.0,9.0,173.0,85.0,88.0,2.0
693,RAM,1271969RAM,December 7,MIN,15.0,247.0,186.0,61.0,1.0,15.0,246.0,69.0,177.0,0.0
707,MIN,12141969MIN,December 14,SFO,7.0,193.0,82.0,111.0,3.0,15.0,291.0,279.0,12.0,4.0
714,ATL,12211969ATL,December 21,MIN,5.0,111.0,50.0,61.0,3.0,9.0,167.0,42.0,125.0,8.0
723,MIN,12271969MIN,December 27,RAM,18.0,275.0,178.0,97.0,3.0,19.0,255.0,129.0,126.0,1.0
725,MIN,141970MIN,January 4,CLE,18.0,383.0,161.0,222.0,0.0,14.0,268.0,171.0,97.0,3.0
727,KAN,1111970KAN,January 11,MIN,18.0,273.0,122.0,151.0,1.0,13.0,239.0,172.0,67.0,5.0
734,MIN,9201970MIN,September 20,KAN,17.0,220.0,88.0,132.0,3.0,8.0,218.0,155.0,63.0,4.0
749,MIN,9271970MIN,September 27,NOR,12.0,291.0,185.0,106.0,2.0,8.0,131.0,71.0,60.0,4.0
761,GNB,1041970GNB,October 4,MIN,9.0,173.0,32.0,141.0,2.0,13.0,216.0,159.0,57.0,3.0
768,CHI,10111970CHI,October 11,MIN,9.0,137.0,75.0,62.0,6.0,17.0,342.0,200.0,142.0,3.0
788,MIN,10181970MIN,October 18,DAL,19.0,258.0,145.0,113.0,0.0,14.0,286.0,126.0,160.0,4.0
805,MIN,10261970MIN,October 26,RAM,12.0,172.0,26.0,146.0,2.0,5.0,100.0,34.0,66.0,5.0
812,DET,1111970DET,November 1,MIN,13.0,254.0,186.0,68.0,3.0,17.0,387.0,251.0,136.0,4.0
830,WAS,1181970WAS,November 8,MIN,21.0,334.0,179.0,155.0,1.0,14.0,163.0,53.0,110.0,0.0
840,MIN,11151970MIN,November 15,DET,17.0,289.0,204.0,85.0,2.0,15.0,185.0,59.0,126.0,2.0
852,MIN,11221970MIN,November 22,GNB,11.0,202.0,104.0,98.0,0.0,15.0,282.0,158.0,124.0,2.0
865,NYJ,11291970NYJ,November 29,MIN,15.0,261.0,74.0,187.0,0.0,11.0,167.0,108.0,59.0,4.0
871,MIN,1251970MIN,December 5,CHI,16.0,281.0,79.0,202.0,1.0,9.0,129.0,88.0,41.0,3.0
887,NWE,12131970NWE,December 13,MIN,15.0,182.0,116.0,66.0,4.0,28.0,429.0,317.0,112.0,4.0
898,ATL,12201970ATL,December 20,MIN,12.0,131.0,85.0,46.0,4.0,21.0,398.0,262.0,136.0,3.0
912,MIN,12271970MIN,December 27,SFO,14.0,241.0,124.0,117.0,4.0,14.0,289.0,193.0,96.0,3.0
929,DET,9201971DET,September 20,MIN,15.0,221.0,61.0,160.0,2.0,14.0,275.0,232.0,43.0,4.0
935,MIN,9261971MIN,September 26,CHI,11.0,230.0,146.0,84.0,1.0,19.0,315.0,239.0,76.0,3.0
950,MIN,1031971MIN,October 3,BUF,23.0,326.0,133.0,193.0,3.0,7.0,64.0,8.0,56.0,3.0
965,PHI,10101971PHI,October 10,MIN,9.0,172.0,122.0,50.0,4.0,15.0,195.0,60.0,135.0,1.0
972,GNB,10171971GNB,October 17,MIN,19.0,342.0,221.0,121.0,5.0,17.0,270.0,172.0,98.0,1.0
994,MIN,10251971MIN,October 25,CLT,9.0,153.0,86.0,67.0,1.0,16.0,276.0,147.0,129.0,3.0
1001,NYG,10311971NYG,October 31,MIN,13.0,252.0,127.0,125.0,1.0,13.0,278.0,161.0,117.0,2.0
1012,MIN,1171971MIN,November 7,SFO,10.0,167.0,76.0,91.0,1.0,14.0,222.0,103.0,119.0,5.0
1028,MIN,11141971MIN,November 14,GNB,5.0,87.0,21.0,66.0,1.0,15.0,301.0,56.0,245.0,4.0
1041,NOR,11211971NOR,November 21,MIN,11.0,258.0,167.0,91.0,2.0,20.0,267.0,95.0,172.0,2.0
1053,MIN,11281971MIN,November 28,ATL,19.0,304.0,47.0,257.0,3.0,4.0,123.0,55.0,68.0,3.0
1069,SDG,1251971SDG,December 5,MIN,21.0,314.0,165.0,149.0,1.0,19.0,315.0,173.0,142.0,5.0
1074,MIN,12111971MIN,December 11,DET,7.0,134.0,21.0,113.0,2.0,17.0,236.0,129.0,107.0,5.0
1088,CHI,12191971CHI,December 19,MIN,14.0,310.0,206.0,104.0,4.0,16.0,349.0,232.0,117.0,3.0
1100,MIN,12251971MIN,December 25,DAL,17.0,311.0,210.0,101.0,5.0,10.0,183.0,85.0,98.0,0.0
1118,MIN,9181972MIN,September 18,WAS,26.0,382.0,200.0,182.0,2.0,11.0,203.0,57.0,146.0,1.0
1123,DET,9241972DET,September 24,MIN,16.0,213.0,124.0,89.0,5.0,13.0,286.0,156.0,130.0,0.0
