,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
8,BUF,9111966BUF,September 11,KAN,15.0,195.0,116.0,79.0,1.0,17.0,388.0,223.0,165.0,1.0
21,RAI,9181966RAI,September 18,KAN,17.0,341.0,245.0,96.0,3.0,11.0,224.0,85.0,139.0,1.0
26,NWE,9251966NWE,September 25,KAN,17.0,308.0,164.0,144.0,4.0,22.0,395.0,319.0,76.0,2.0
41,KAN,1021966KAN,October 2,BUF,11.0,265.0,214.0,51.0,3.0,20.0,361.0,214.0,147.0,1.0
49,KAN,1081966KAN,October 8,DEN,21.0,379.0,145.0,234.0,1.0,11.0,212.0,133.0,79.0,2.0
63,KAN,10161966KAN,October 16,RAI,15.0,209.0,133.0,76.0,3.0,14.0,371.0,288.0,83.0,2.0
73,DEN,10231966DEN,October 23,KAN,12.0,211.0,183.0,28.0,7.0,26.0,614.0,234.0,380.0,1.0
84,KAN,10301966KAN,October 30,OTI,15.0,441.0,290.0,151.0,3.0,22.0,268.0,174.0,94.0,4.0
95,KAN,1161966KAN,November 6,SDG,24.0,302.0,143.0,159.0,2.0,14.0,287.0,203.0,84.0,2.0
107,KAN,11131966KAN,November 13,MIA,17.0,396.0,236.0,160.0,5.0,11.0,160.0,79.0,81.0,6.0
118,KAN,11201966KAN,November 20,NWE,21.0,359.0,286.0,73.0,4.0,19.0,361.0,245.0,116.0,2.0
132,NYJ,11271966NYJ,November 27,KAN,15.0,283.0,252.0,31.0,1.0,27.0,439.0,311.0,128.0,1.0
151,MIA,12111966MIA,December 11,KAN,14.0,286.0,123.0,163.0,4.0,17.0,316.0,128.0,188.0,2.0
165,SDG,12181966SDG,December 18,KAN,19.0,326.0,195.0,131.0,2.0,22.0,387.0,93.0,294.0,2.0
168,BUF,111967BUF,January 1,KAN,9.0,255.0,215.0,40.0,4.0,14.0,277.0,164.0,113.0,0.0
170,GNB,1151967GNB,January 15,KAN,21.0,358.0,228.0,130.0,1.0,17.0,239.0,167.0,72.0,1.0
172,OTI,991967OTI,September 9,KAN,17.0,336.0,158.0,178.0,2.0,20.0,312.0,171.0,141.0,1.0
193,MIA,9241967MIA,September 24,KAN,8.0,124.0,101.0,23.0,5.0,20.0,349.0,97.0,252.0,1.0
207,RAI,1011967RAI,October 1,KAN,16.0,306.0,206.0,100.0,2.0,12.0,243.0,150.0,93.0,3.0
217,KAN,1081967KAN,October 8,MIA,15.0,335.0,220.0,115.0,0.0,17.0,206.0,113.0,93.0,6.0
