,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
17,DAL,9181966DAL,September 18,NYG,24.0,518.0,374.0,144.0,1.0,18.0,257.0,120.0,137.0,4.0
29,DAL,9251966DAL,September 25,MIN,18.0,314.0,166.0,148.0,0.0,25.0,389.0,247.0,142.0,1.0
37,ATL,1021966ATL,October 2,DAL,20.0,276.0,170.0,106.0,5.0,22.0,363.0,220.0,143.0,2.0
52,DAL,1091966DAL,October 9,PHI,32.0,652.0,440.0,212.0,0.0,11.0,217.0,179.0,38.0,1.0
68,CRD,10161966CRD,October 16,DAL,13.0,175.0,130.0,45.0,0.0,17.0,326.0,191.0,135.0,4.0
72,CLE,10231966CLE,October 23,DAL,17.0,264.0,159.0,105.0,0.0,30.0,413.0,257.0,156.0,4.0
82,DAL,10301966DAL,October 30,PIT,24.0,425.0,233.0,192.0,3.0,6.0,119.0,112.0,7.0,4.0
99,PHI,1161966PHI,November 6,DAL,5.0,80.0,22.0,58.0,3.0,16.0,240.0,128.0,112.0,2.0
112,WAS,11131966WAS,November 13,DAL,19.0,341.0,318.0,23.0,0.0,24.0,515.0,383.0,132.0,3.0
122,PIT,11201966PIT,November 20,DAL,16.0,163.0,110.0,53.0,3.0,16.0,258.0,134.0,124.0,1.0
124,DAL,11241966DAL,November 24,CLE,25.0,304.0,131.0,173.0,0.0,18.0,321.0,164.0,157.0,1.0
139,DAL,1241966DAL,December 4,CRD,11.0,190.0,82.0,108.0,1.0,21.0,295.0,201.0,94.0,5.0
148,DAL,12111966DAL,December 11,WAS,17.0,370.0,129.0,241.0,1.0,13.0,399.0,295.0,104.0,2.0
164,NYG,12181966NYG,December 18,DAL,19.0,262.0,155.0,107.0,2.0,11.0,257.0,155.0,102.0,2.0
169,DAL,111967DAL,January 1,GNB,23.0,418.0,231.0,187.0,2.0,19.0,367.0,265.0,102.0,1.0
178,CLE,9171967CLE,September 17,DAL,12.0,221.0,210.0,11.0,3.0,19.0,370.0,189.0,181.0,4.0
189,DAL,9241967DAL,September 24,NYG,23.0,414.0,236.0,178.0,1.0,15.0,266.0,190.0,76.0,3.0
201,DAL,1011967DAL,October 1,RAM,20.0,272.0,221.0,51.0,4.0,25.0,356.0,135.0,221.0,1.0
222,WAS,1081967WAS,October 8,DAL,14.0,253.0,237.0,16.0,3.0,18.0,320.0,205.0,115.0,2.0
229,DAL,10151967DAL,October 15,NOR,18.0,234.0,109.0,125.0,3.0,12.0,207.0,165.0,42.0,3.0
244,PIT,10221967PIT,October 22,DAL,29.0,379.0,298.0,81.0,2.0,14.0,378.0,290.0,88.0,1.0
255,PHI,10291967PHI,October 29,DAL,23.0,341.0,165.0,176.0,6.0,13.0,306.0,192.0,114.0,5.0
262,DAL,1151967DAL,November 5,ATL,21.0,324.0,153.0,171.0,2.0,13.0,223.0,157.0,66.0,5.0
278,NOR,11121967NOR,November 12,DAL,14.0,211.0,168.0,43.0,3.0,18.0,380.0,178.0,202.0,2.0
289,DAL,11191967DAL,November 19,WAS,27.0,446.0,342.0,104.0,5.0,16.0,314.0,265.0,49.0,2.0
295,DAL,11231967DAL,November 23,CRD,18.0,436.0,300.0,136.0,1.0,15.0,317.0,222.0,95.0,4.0
307,CLT,1231967CLT,December 3,DAL,16.0,310.0,260.0,50.0,4.0,13.0,223.0,89.0,134.0,4.0
324,DAL,12101967DAL,December 10,PHI,22.0,325.0,158.0,167.0,4.0,12.0,102.0,79.0,23.0,5.0
332,SFO,12161967SFO,December 16,DAL,20.0,371.0,239.0,132.0,4.0,17.0,271.0,137.0,134.0,4.0
345,DAL,12241967DAL,December 24,CLE,22.0,401.0,223.0,178.0,2.0,15.0,322.0,163.0,159.0,1.0
348,GNB,12311967GNB,December 31,DAL,18.0,195.0,115.0,80.0,2.0,11.0,192.0,100.0,92.0,2.0
360,DAL,9151968DAL,September 15,DET,29.0,542.0,381.0,161.0,0.0,15.0,257.0,189.0,68.0,4.0
371,DAL,9221968DAL,September 22,CLE,24.0,346.0,143.0,203.0,1.0,12.0,250.0,163.0,87.0,2.0
389,PHI,9291968PHI,September 29,DAL,14.0,263.0,223.0,40.0,7.0,21.0,418.0,281.0,137.0,2.0
403,CRD,1061968CRD,October 6,DAL,14.0,251.0,173.0,78.0,2.0,22.0,297.0,103.0,194.0,1.0
410,DAL,10131968DAL,October 13,PHI,27.0,414.0,263.0,151.0,1.0,11.0,164.0,72.0,92.0,5.0
425,MIN,10201968MIN,October 20,DAL,16.0,274.0,144.0,130.0,3.0,9.0,177.0,93.0,84.0,2.0
443,DAL,10281968DAL,October 28,GNB,20.0,365.0,206.0,159.0,4.0,20.0,322.0,217.0,105.0,1.0
450,NOR,1131968NOR,November 3,DAL,13.0,243.0,184.0,59.0,4.0,22.0,405.0,220.0,185.0,7.0
463,DAL,11101968DAL,November 10,NYG,24.0,349.0,250.0,99.0,5.0,13.0,293.0,181.0,112.0,1.0
482,WAS,11171968WAS,November 17,DAL,13.0,289.0,207.0,82.0,2.0,24.0,515.0,295.0,220.0,2.0
485,CHI,11241968CHI,November 24,DAL,9.0,147.0,80.0,67.0,3.0,26.0,343.0,230.0,113.0,2.0
495,DAL,11281968DAL,November 28,WAS,17.0,285.0,138.0,147.0,1.0,18.0,248.0,220.0,28.0,5.0
511,DAL,1281968DAL,December 8,PIT,11.0,341.0,232.0,109.0,2.0,19.0,313.0,120.0,193.0,1.0
529,NYG,12151968NYG,December 15,DAL,15.0,319.0,265.0,54.0,1.0,21.0,320.0,191.0,129.0,3.0
533,CLE,12211968CLE,December 21,DAL,12.0,280.0,178.0,102.0,2.0,13.0,286.0,200.0,86.0,4.0
550,DAL,9211969DAL,September 21,CRD,14.0,362.0,210.0,152.0,2.0,10.0,257.0,199.0,58.0,3.0
566,NOR,9281969NOR,September 28,DAL,17.0,310.0,269.0,41.0,4.0,17.0,294.0,81.0,213.0,1.0
580,PHI,1051969PHI,October 5,DAL,15.0,252.0,198.0,54.0,2.0,27.0,526.0,344.0,182.0,1.0
585,ATL,10121969ATL,October 12,DAL,14.0,213.0,125.0,88.0,2.0,19.0,397.0,232.0,165.0,1.0
599,DAL,10191969DAL,October 19,PHI,24.0,447.0,276.0,171.0,1.0,8.0,180.0,122.0,58.0,3.0
621,DAL,10271969DAL,October 27,NYG,21.0,370.0,153.0,217.0,3.0,8.0,166.0,126.0,40.0,2.0
627,CLE,1121969CLE,November 2,DAL,20.0,325.0,230.0,95.0,3.0,20.0,323.0,183.0,140.0,6.0
638,DAL,1191969DAL,November 9,NOR,18.0,438.0,251.0,187.0,2.0,20.0,303.0,162.0,141.0,3.0
660,WAS,11161969WAS,November 16,DAL,19.0,377.0,320.0,57.0,4.0,23.0,365.0,147.0,218.0,1.0
666,RAM,11231969RAM,November 23,DAL,16.0,290.0,202.0,88.0,2.0,20.0,352.0,222.0,130.0,4.0
674,DAL,11271969DAL,November 27,SFO,21.0,305.0,168.0,137.0,3.0,15.0,319.0,227.0,92.0,1.0
698,PIT,1271969PIT,December 7,DAL,14.0,217.0,140.0,77.0,1.0,13.0,202.0,109.0,93.0,3.0
700,DAL,12131969DAL,December 13,CLT,18.0,408.0,275.0,133.0,1.0,8.0,224.0,164.0,60.0,4.0
716,DAL,12211969DAL,December 21,WAS,20.0,333.0,195.0,138.0,1.0,19.0,274.0,173.0,101.0,1.0
724,DAL,12281969DAL,December 28,CLE,17.0,217.0,117.0,100.0,3.0,22.0,344.0,247.0,97.0,0.0
736,PHI,9201970PHI,September 20,DAL,13.0,225.0,121.0,104.0,4.0,20.0,297.0,99.0,198.0,3.0
744,DAL,9271970DAL,September 27,NYG,24.0,360.0,161.0,199.0,2.0,15.0,238.0,139.0,99.0,3.0
765,CRD,1041970CRD,October 4,DAL,15.0,309.0,164.0,145.0,2.0,17.0,269.0,128.0,141.0,2.0
770,DAL,10111970DAL,October 11,ATL,13.0,257.0,39.0,218.0,3.0,9.0,128.0,44.0,84.0,3.0
788,MIN,10181970MIN,October 18,DAL,19.0,258.0,145.0,113.0,0.0,14.0,286.0,126.0,160.0,4.0
797,KAN,10251970KAN,October 25,DAL,12.0,236.0,183.0,53.0,3.0,15.0,327.0,132.0,195.0,1.0
810,DAL,1111970DAL,November 1,PHI,8.0,278.0,232.0,46.0,1.0,20.0,396.0,245.0,151.0,4.0
824,NYG,1181970NYG,November 8,DAL,20.0,338.0,136.0,202.0,3.0,9.0,263.0,161.0,102.0,0.0
844,DAL,11161970DAL,November 16,CRD,14.0,243.0,140.0,103.0,6.0,19.0,392.0,150.0,242.0,1.0
856,WAS,11221970WAS,November 22,DAL,20.0,304.0,135.0,169.0,2.0,22.0,370.0,189.0,181.0,1.0
858,DAL,11261970DAL,November 26,GNB,15.0,352.0,201.0,151.0,0.0,9.0,129.0,51.0,78.0,1.0
873,DAL,1261970DAL,December 6,WAS,24.0,424.0,148.0,276.0,1.0,9.0,166.0,99.0,67.0,4.0
884,CLE,12121970CLE,December 12,DAL,13.0,299.0,236.0,63.0,4.0,12.0,174.0,52.0,122.0,1.0
900,DAL,12201970DAL,December 20,OTI,22.0,549.0,341.0,208.0,3.0,12.0,151.0,65.0,86.0,5.0
